{upset, turnover, 推翻}
{pathological, pathology, 病理学, 病理}
{incorrect, wrong}
{ergonomically, ergonomic, biotechnology, ergonomics, bioengineer}
{cafe, café}
{字, word}
{diversity, biodiversity, hippo}
{solitaire, patience}
{prelude, preliminary}
{病患, 门诊, patient, 住院, 病人, outpatient, 患病, 患者}
{session, ignition}
{精算, actuarial}
{跨越, 克服, bridge}
{cooker, stove}
{spectrum, partial}
{厌倦, 乏味}
{patio, 天井, 庭院, terrace}
{克服, 度过}
{dirty, cache, 缓存}
{single-lens, 单反}
{halloween, h2}
{囤积, cache, 藏, stash}
{regeneration, restoration}
{rudimentary, fundamental}
{slave, slaves, 奴隶}
{paragliding, paraglide, 滑翔}
{1950, 1947}
{ratchet, 棘轮}
{running, functional, working}
{取代, displacement, 置换}
{foul, handball, caution}
{toeic, 多益, 托业}
{displacement, 移位}
{单词, 词, 字词, word}
{overview, 综述}
{油漆, paint}
{incorrect, wrong}
{lesbian, gay}
{添加剂, additive}
{honeycomb, astro, donut, bender, gingerbread, cupcake}
{tremolo, tremolos}
{raceway, 跑道, 赛道, track}
{取代, displacement}
{加, sum, plus, addition}
{translation, displacement}
{振动, 颤动}
{shift, displacement}
{understanding, 赞同}
{aug, august, 八月}
{mana, aura}
{浸泡, infusion}
{mow, mao}
{increment, increase, addition, gain}
{charles, 查理}
{马达加斯加, madagascar}
{蝎子, scorpion}
{profound, fundamental}
{违反, 违规, violation, infringement}
{dispersion, distribution}
{gator, gain}
{instance, 模型, model, case}
{开放, opening}
{fan, sandbag}
{paint, 画, 绘画, 画画}
{记事本, notepad}
{return, 退款, refund}
{bonnie, fair}
{0, 无, zip, null, 零, zippo}
{mutual, common}
{赠送, 分发}
{人人网, 校内, renren}
{酿造, brew}
{波导, waveguide}
{undertake, tackle, 承担, 接受}
{pine, 松树}
{带, convey, bring, 把}
{unbelievable, incredible}
{路线, 途径, path, 轨道, 道路, way, 路}
{biochemical, biochemistry, 生化}
{mine, 鱼雷}
{shackle, 手铐, hamper, bond}
{common, vulgar, vernacular}
{common, usual}
{race, 种族, racial}
{脑筋, 隐蔽}
{病原, pathogenic, pathogen}
{overflow, 溢出}
{domination, submission}
{common, vulgar}
{致病, pathogenesis, 发病}
{跑车, racer, 赛车}
{典型, model, 模范}
{brighten, clear}
{汉密尔顿, hamilton}
{成份, ingredient, 材料, 成分, 因素}
{nominate, race}
{found, 发现}
{brighten, lighten}
{tenor, 债券, bond}
{raceway, race}
{交响, 交响乐, symphony}
{海报, posters, poster}
{foundation, 基金会}
{hetian, hotan}
{foundation, 基础}
{装备, furnishings, homeware, 家具}
{undertaking, overtake}
{shapewear, foundation}
{rosewood, 红木}
{diamond, lamp}
{工具袋, 背包}
{戴安娜, diana}
{滑稽, 恶作剧, trick, joke}
{慈善, charity}
{kitchen, 厨房, kitchens}
{慈善, charity}
{sleeveless, vain}
{树皮, bark}
{魅力, charisma}
{excavation, 采矿, mining, 矿山}
{reunion, simple, bleed}
{期望, 指望, 期待}
{putter, 矿工, miner}
{达尔文, darwin}
{指数, index}
{期望, 指望, 期待}
{minerals, 矿物, 矿产, mineral}
{code, codification, 法典}
{prediction, forecast}
{听觉, sound}
{patch, pruning, 皮肤病, erosion, scale, crust}
{期望, 希望, 预期, 期待, expectation}
{pinball, bumper}
{codes, code, 编码}
{系列, series}
{细心, 谨慎}
{pinch, 困难}
{离开, quit}
{工具箱, kit}
{pinch, tweak}
{outfit, kit}
{攻克, 占领}
{程序员, 编码器, programmer, developer, programmers, 开发者}
{mine, mining}
{slips, slip}
{视听, audiovisual}
{shell, 赛艇}
{car, 缆车}
{boom, gravy}
{masquerade, er}
{terror, threat}
{pace, step}
{compose, pen, 写, write}
{cabochon, 戒面}
{rest, 休息, breathe}
{audit, 审计, 审核}
{乒乓, ping-pong}
{compose, 作曲, write}
{请, please}
{美食, connoisseur, gourmet}
{快艇, yacht, 游艇, 赛艇}
{fuse, primer, 保险丝}
{透气, 通风, breathe}
{single, 单}
{congratulate, compliment}
{cable, catv}
{conditional, if}
{火炬, 信号灯}
{装, pack}
{elaborate, complicate, refine}
{vienna, 维也纳}
{反, anti}
{handcrafted, 手工, handcraft, 手工业, 手工艺, handicraft}
{资助, back, 赞助}
{extraordinary, excellence, excellent}
{line, 线}
{rack, 架子, 支架}
{stake, game, gage, back}
{foundry, metalworking, metalwork, 金工}
{scrubs, scrub, 擦洗}
{stereo, 立体声}
{愤怒, madness, fury, rage, 疯狂}
{附录, appendix, supplement, postscript, rider}
{共振, resonance}
{锅, casserole}
{fountain, fountains}
{jazz, sophie}
{bachelor, bach}
{rotisserie, spit}
{deluxe, luxe}
{木工, woodworker}
{拥护, 赞成, back, support, endorse}
{附加, add-on, addition}
{fountain, jet}
{multilayer, 多层}
{批准, 赞成, back, endorse, second}
{scouting, scout}
{spring, fountain, 源泉, 喷泉}
{graders, grader}
{add, 地址}
{battlefield, silence, pray}
{plug-in, plugin, 插件, 电路板, board, card, add-on}
{炊具, kitchenware}
{sincerely, serious, seriously, sincere}
{final, nucleus, peak, rhyme, onset}
{sync, synchronize}
{rotation, 旋转}
{shari, 莎丽}
{片段, 摘录, extract, selection, excerpt}
{rough, fierce}
{适配器, adapter, adapters, 转接器, adaptor}
{märklin, marklin}
{过剩, surplus, excess, 盈余}
{excess, 过度}
{松果, pinecone}
{给予, give, 予以, 授予, grant}
{rate, 费率}
{excess, 过度}
{venice, 威尼斯}
{give, render}
{excess, 放纵, dissipation}
{audition, 听觉, hearing, hear}
{owner, 所有者, 业主}
{voice, citizen, skyline, life, booster}
{anti-bacterial, 抗生素, 抗菌, antibacterial, bactericidal}
{give, 供给}
{give, pass, reach, 传递, 给, 交给, hand}
{信用卡, plastic}
{forever, three}
{pod, cod, 果皮}
{binoculars, 望远镜}
{乒乓, ping-pong, 乒乓球}
{give, 牺牲, sacrifice}
{give, 给}
{antibiotic, anti-bacterial, 抗生素}
{give, 发出}
{透露, 告知, 传授, give, impart, leave, 给}
{eaton, 伊顿}
{鳕鱼, cod}
{motorbike, 摩托车}
{give, yield, 给}
{emit, breathe}
{inspire, 吸入, inhale}
{caboose, 军舰}
{fusion, merger}
{next, future}
{容纳, incorporate, comprise}
{deal, 交易, bargain, 买卖}
{idle, dead}
{multiply, breed}
{录音, audio}
{comprise, consist}
{呕吐, vomit}
{玩水, paddle}
{wyeth, 惠氏}
{fusion, 融合}
{steal, buy, 便宜货, bargain}
{implements, 接口, interface, 介面}
{spawn, breed}
{可能性, possibility, opening}
{form, 类型}
{炮弹, 炸弹}
{培育, breed}
{机遇, 机会, opening}
{comprehend, cover, encompass, embrace}
{cover, breed}
{paradise, jane}
{comprehend, 察觉, 发觉, 感知, perceive}
{disorder, 杂乱, 混乱}
{wool, 羊毛, woolen}
{rotate, rotation, rotational, 旋转}
{compose, frame}
{子类, classes, 类, class}
{head, 源泉}
{foul, choke, clog}
{交流, exchange}
{racing, race, 赛车, 竞速}
{villains, villain}
{ambiguous, fuzzy}
{锁, locking, lock}
{intensify, deepen, heighten, compound}
{交换, exchange, 兑换, interchange}
{轻工业, 轻工}
{s5, n5, x5}
{handkerchief, hankie, hanky, 手帕, handkerchiefs}
{sine, sin}
{苏格兰, scottish, scotland}
{fuselage, 机身}
{撤退, retreat, 放弃, withdraw}
{level, shift}
{disney, 迪士尼, 迪斯尼}
{交易所, exchange}
{放弃, 退出}
{苏格兰, scottish}
{mtg, cinema}
{symbolic, symbol, symbolize, 代号, emblem, 符号}
{犯罪, sin}
{米尔顿, milton}
{disorder, upset, 失调, 不适}
{援助, support}
{芋头, taro}
{habit, addictive, addiction, dependence, 上瘾}
{猫咪, kitten, kitty}
{exchange, rally}
{cucumber, 黄瓜}
{exchange, interchange}
{simultaneous, simultaneously}
{cucumber, 黄瓜}
{明朝, ming, 明代}
{freak, nut, addict}
{newcastle, 纽卡斯尔}
{手枪, handgun, pistol, pistols}
{网格, trellis}
{spoons, pig}
{少量, handful}
{模拟器, simulator}
{汇率, 比价}
{fan, 电风扇, 风扇, 电扇, fanless}
{taboo, 禁用}
{手持式, hold}
{模型, 缩影, miniature, toy}
{排卵, ovulation}
{trading, 商, dealer, trader, 商人}
{绳索, 网线, cables, cabling, cable, 电缆}
{捆扎, 包装, pack}
{plum, plumb}
{混淆, 混乱, confusion}
{议价, 讨价还价}
{混乱, 混合, confusion}
{kites, 风筝, kite}
{presentation, 颁奖, 简报}
{橱柜, cabinetry}
{give, yield}
{antivirus, av, anti-virus}
{line, cable, 线, 电缆}
{give, 实施}
{mini, 迷你}
{tacky, kitsch}
{粘土, 陶土}
{cover, 掩盖, compensate}
{pilot, 试点}
{ax, axe}
{料理, gastronomy, cuisine, 烹饪}
